球员,得分,命中率,命中率,命中率,篮板,助攻,抢断,盖帽
"
乔尔-恩比德（Joel Embiid）",33.2,0.548,0.33,0.856,10.2,4.2,1,1.68
"
卢卡-东契奇（Luka Doncic）",32.4,0.496,0.342,0.742,8.6,8.0,1.36,0.50
"
达米安-利拉德（Damian Lillard）",32.2,0.46,0.369,0.915,4.8,7.3,0.86,0.32
"
谢伊-吉尔杰斯-亚历山大（Shai Gilgeous-Alexander）",31.4,0.51,0.345,0.905,4.8,5.5,1.65,0.96
球员,得分,命中率,命中率,命中率,篮板,助攻,抢断,盖帽
"
乔尔-恩比德（Joel Embiid）",33.2,0.548,0.33,0.856,10.2,4.2,1,1.68
"
卢卡-东契奇（Luka Doncic）",32.4,0.496,0.342,0.742,8.6,8.0,1.36,0.50
"
达米安-利拉德（Damian Lillard）",32.2,0.46,0.369,0.915,4.8,7.3,0.86,0.32
"
谢伊-吉尔杰斯-亚历山大（Shai Gilgeous-Alexander）",31.4,0.51,0.345,0.905,4.8,5.5,1.65,0.96
球员,得分,命中率,命中率,命中率,篮板,助攻,抢断,盖帽
"
乔尔-恩比德（Joel Embiid）",33.2,0.548,0.33,0.856,10.2,4.2,1,1.68
"
卢卡-东契奇（Luka Doncic）",32.4,0.496,0.342,0.742,8.6,8.0,1.36,0.50
"
达米安-利拉德（Damian Lillard）",32.2,0.46,0.369,0.915,4.8,7.3,0.86,0.32
"
谢伊-吉尔杰斯-亚历山大（Shai Gilgeous-Alexander）",31.4,0.51,0.345,0.905,4.8,5.5,1.65,0.96
球员,得分,命中率,命中率,命中率,篮板,助攻,抢断,盖帽
"
乔尔-恩比德（Joel Embiid）",33.2,0.548,0.33,0.856,10.2,4.2,1,1.68
"
卢卡-东契奇（Luka Doncic）",32.4,0.496,0.342,0.742,8.6,8.0,1.36,0.50
"
达米安-利拉德（Damian Lillard）",32.2,0.46,0.369,0.915,4.8,7.3,0.86,0.32
"
谢伊-吉尔杰斯-亚历山大（Shai Gilgeous-Alexander）",31.4,0.51,0.345,0.905,4.8,5.5,1.65,0.96
