赛季,得分,命中率,命中率,命中率,篮板,助攻,抢断,盖帽
2009,17.5,0.46,0.44,0.89,4.5,5.9,1.90,0.24
2010,18.6,0.48,0.44,0.93,3.9,5.8,1.47,0.27
2011,14.7,0.49,0.46,0.81,3.4,5.3,1.50,0.31
2012,22.9,0.45,0.45,0.9,4.0,6.9,1.62,0.15
2013,24.0,0.47,0.42,0.89,4.3,8.5,1.64,0.18
2014,23.8,0.49,0.44,0.91,4.3,7.7,2.04,0.20
2015,30.1,0.5,0.45,0.91,5.4,6.7,2.14,0.19
2016,25.3,0.47,0.41,0.9,4.5,6.6,1.80,0.22
2017,26.4,0.5,0.42,0.92,5.1,6.1,1.57,0.16
2017,26.4,0.5,0.42,0.92,5.1,6.1,1.57,0.16
2018,27.3,0.47,0.44,0.92,5.3,5.2,1.33,0.36
2019,20.8,0.4,0.25,1.0,5.2,6.6,1,0.40
2020,32.0,0.48,0.42,0.92,5.5,5.8,1.22,0.13
2021,25.5,0.44,0.38,0.92,5.2,6.3,1.33,0.36
